item_id,Item Code,Brand,L1,Product Priority,Social Nudge
7512246,1011768,Vega,Tools & Appliances,53692.0,
7512244,939569,Faces Canada,Makeup,53693.0,
7512245,1011658,Vega,Tools & Appliances,53694.0,
7512240,1011622,Vega,Tools & Appliances,53695.0,
7512232,1011599,Vega,Tools & Appliances,53696.0,
7512231,1011598,Vega,Tools & Appliances,53697.0,
7512220,939567,Faces Canada,Makeup,53698.0,
7512221,1011659,Vega,Bath & Body,53699.0,
7512215,1011650,Vega,Tools & Appliances,53700.0,
7512213,1011548,Vega,Tools & Appliances,53701.0,
7512210,1011634,Vega,Tools & Appliances,53702.0,
7512202,1011602,Vega,Tools & Appliances,53703.0,
7512190,1023318,Vega,Tools & Appliances,53704.0,
7512184,1011646,Vega,Tools & Appliances,53705.0,
7512180,1011756,Vega,Tools & Appliances,53706.0,
7512167,1015928,Basicare,Makeup,53707.0,
7512170,1011649,Vega,Tools & Appliances,53708.0,
7512166,1011534,Vega,Tools & Appliances,53709.0,
7512165,1011607,Vega,Tools & Appliances,53710.0,
7512150,1011761,Vega,Tools & Appliances,53711.0,
7512149,1011642,Vega,Tools & Appliances,53712.0,
7512145,1011629,Vega,Tools & Appliances,53713.0,
7512132,1011731,Vega,Tools & Appliances,53714.0,
7512100,970457,Miss Rose,Makeup,53715.0,
7512125,1011600,Vega,Tools & Appliances,53716.0,
7512099,961169,Makeup Revolution,Makeup,53717.0,
7512065,963649,Pigment Play,Makeup,53718.0,
7512098,960993,Makeup Revolution,Makeup,53719.0,
7512036,970434,Miss Rose,Makeup,53720.0,
7512019,961138,Makeup Revolution,Makeup,53721.0,
7511965,970204,Miss Rose,Makeup,53722.0,
7511983,961133,Makeup Revolution,Makeup,53723.0,
7511951,961185,Makeup Revolution,Makeup,53724.0,
7511959,970504,Miss Rose,Makeup,53725.0,
7511947,970466,Miss Rose,Makeup,53726.0,
7511939,1024534,Insight Cosmetics,Makeup,53727.0,
7511936,960980,Makeup Revolution,Makeup,53728.0,
7511928,970469,Miss Rose,Makeup,53729.0,
7511933,961154,Makeup Revolution,Makeup,53730.0,
7511924,961244,Makeup Revolution,Makeup,53731.0,
7511918,961053,Makeup Revolution,Makeup,53732.0,
7511900,970427,Miss Rose,Makeup,53733.0,
7511916,961203,Makeup Revolution,Makeup,53734.0,
7511895,970349,Miss Rose,Makeup,53735.0,
7511888,963648,Pigment Play,Makeup,53736.0,
7511889,970841,Miss Rose,Makeup,53737.0,
7511870,1018400,MyGlamm,Makeup,53738.0,
7511847,1018398,MyGlamm,Makeup,53739.0,
7511842,970452,Miss Rose,Makeup,53740.0,
7511843,1018399,MyGlamm,Makeup,53741.0,
7511838,963650,Pigment Play,Makeup,53742.0,
7511835,970828,Miss Rose,Makeup,53743.0,
7511823,963652,Pigment Play,Makeup,53744.0,
7511819,963651,Pigment Play,Makeup,53745.0,
7511807,970468,Miss Rose,Makeup,53746.0,
7511818,963654,Pigment Play,Makeup,53747.0,
7511765,970205,Miss Rose,Makeup,53748.0,
7511728,970375,Miss Rose,Makeup,53749.0,
7511722,970470,Miss Rose,Makeup,53750.0,
7511717,970459,Miss Rose,Makeup,53751.0,
7511714,970458,Miss Rose,Makeup,53752.0,
7511692,961003,Makeup Revolution,Makeup,53753.0,
7511695,970428,Miss Rose,Makeup,53754.0,
7511688,1024618,Insight Cosmetics,Makeup,53755.0,
7511673,939522,Faces Canada,Makeup,53756.0,
7511665,938752,Colorbar,Makeup,53757.0,
7511662,974074,Insight Cosmetics,Makeup,53758.0,
7511656,939493,Faces Canada,Makeup,53759.0,
7511645,974065,Insight Cosmetics,Makeup,53760.0,
7511632,1029720,Makeup Revolution,Makeup,53761.0,
7511615,939115,Colorbar,Makeup,53762.0,
7511594,974070,Insight Cosmetics,Makeup,53763.0,
7511592,1028628,Pigment Play,Makeup,53764.0,
7511588,946010,MyGlamm,Makeup,53765.0,
7511584,1028611,Pigment Play,Makeup,53766.0,
7511544,939508,Faces Canada,Makeup,53767.0,
7511518,946065,MyGlamm,Makeup,53768.0,
7511508,939586,Faces Canada,Makeup,53769.0,
7511513,946067,MyGlamm,Makeup,53770.0,
7511489,1041826,Neyah,Makeup,53771.0,
7511459,939532,Faces Canada,Makeup,53772.0,
7511445,970492,Miss Rose,Makeup,53773.0,
7511447,939628,Faces Canada,Makeup,53774.0,
7511438,960974,Makeup Revolution,Makeup,53775.0,
7511432,943119,Colorbar,Makeup,53776.0,
7511426,974061,Insight Cosmetics,Makeup,53777.0,
7511416,943230,Colorbar,Makeup,53778.0,
7511412,961004,Makeup Revolution,Makeup,53779.0,
7511394,974057,Insight Cosmetics,Makeup,53780.0,
7511387,939110,Colorbar,Makeup,53781.0,
7511372,974058,Insight Cosmetics,Makeup,53782.0,
7511376,943229,Colorbar,Makeup,53783.0,
7511348,939502,Faces Canada,Makeup,53784.0,
7511363,1024617,Insight Cosmetics,Makeup,53785.0,
7511337,943109,Colorbar,Makeup,53786.0,
7511335,1028605,Pigment Play,Makeup,53787.0,
7511325,939012,Colorbar,Makeup,53788.0,
7511318,1028620,Pigment Play,Makeup,53789.0,
7511321,943117,Colorbar,Makeup,53790.0,
7511312,974063,Insight Cosmetics,Makeup,53791.0,
7511297,938619,Colorbar,Makeup,53792.0,
7511308,974075,Insight Cosmetics,Makeup,53793.0,
7511296,974086,Insight Cosmetics,Makeup,53794.0,
7511292,939583,Faces Canada,Makeup,53795.0,
7511289,939486,Faces Canada,Makeup,53796.0,
7511281,1028617,Pigment Play,Makeup,53797.0,
7511287,939506,Faces Canada,Makeup,53798.0,
7511257,939487,Faces Canada,Makeup,53799.0,
7511253,1024619,Insight Cosmetics,Makeup,53800.0,
7511249,938835,Colorbar,Makeup,53801.0,
7511232,961005,Makeup Revolution,Makeup,53802.0,
7511226,939016,Colorbar,Makeup,53803.0,
7511221,1024536,Insight Cosmetics,Makeup,53804.0,
7511213,1028607,Pigment Play,Makeup,53805.0,
7511219,1024620,Insight Cosmetics,Makeup,53806.0,
7511204,939531,Faces Canada,Makeup,53807.0,
7511207,1028601,Pigment Play,Makeup,53808.0,
7511200,938857,Colorbar,Makeup,53809.0,
7511149,961126,Makeup Revolution,Makeup,53810.0,
7511139,973932,Insight Cosmetics,Makeup,53811.0,
7511127,1024621,Insight Cosmetics,Makeup,53812.0,
7511123,1024622,Insight Cosmetics,Makeup,53813.0,
7511088,946068,MyGlamm,Makeup,53814.0,
7511114,973929,Insight Cosmetics,Makeup,53815.0,
7511082,1028610,Pigment Play,Makeup,53816.0,
7511080,946064,MyGlamm,Makeup,53817.0,
7511077,974088,Insight Cosmetics,Makeup,53818.0,
7511069,974072,Insight Cosmetics,Makeup,53819.0,
7511066,970493,Miss Rose,Makeup,53820.0,
7511068,974089,Insight Cosmetics,Makeup,53821.0,
7511065,974059,Insight Cosmetics,Makeup,53822.0,
7511064,1028627,Pigment Play,Makeup,53823.0,
7511041,939499,Faces Canada,Makeup,53824.0,
7511051,1028602,Pigment Play,Makeup,53825.0,
7511037,974090,Insight Cosmetics,Makeup,53826.0,
7511036,1028626,Pigment Play,Makeup,53827.0,
7511028,974093,Insight Cosmetics,Makeup,53828.0,
7511024,1028624,Pigment Play,Makeup,53829.0,
7511014,974062,Insight Cosmetics,Makeup,53830.0,
7511012,939517,Faces Canada,Makeup,53831.0,
7511004,1028612,Pigment Play,Makeup,53832.0,
7510994,961033,Makeup Revolution,Makeup,53833.0,
7510976,946011,MyGlamm,Makeup,53834.0,
7510951,970837,Miss Rose,Makeup,53835.0,
7510949,943108,Colorbar,Makeup,53836.0,
7510931,939550,Faces Canada,Makeup,53837.0,
7510917,970605,Miss Rose,Makeup,53838.0,
7510905,939523,Faces Canada,Makeup,53839.0,
7510911,970662,Miss Rose,Makeup,53840.0,
7510898,943141,Colorbar,Makeup,53841.0,
7510883,939526,Faces Canada,Makeup,53842.0,
7510802,970604,Miss Rose,Makeup,53843.0,
7510878,939624,Faces Canada,Makeup,53844.0,
7510779,939483,Faces Canada,Makeup,53845.0,
7510750,946069,MyGlamm,Makeup,53846.0,
7510767,939521,Faces Canada,Makeup,53847.0,
7510713,970609,Miss Rose,Makeup,53848.0,
7510698,945614,MyGlamm,Makeup,53849.0,
7510696,939654,Faces Canada,Makeup,53850.0,
7510687,945863,MyGlamm,Makeup,53851.0,
7510669,939655,Faces Canada,Makeup,53852.0,
7510661,945946,MyGlamm,Makeup,53853.0,
7510655,939507,Faces Canada,Makeup,53854.0,
7510648,939491,Faces Canada,Makeup,53855.0,
7510645,939519,Faces Canada,Makeup,53856.0,
7510616,970603,Miss Rose,Makeup,53857.0,
7510627,939525,Faces Canada,Makeup,53858.0,
7510609,945617,MyGlamm,Makeup,53859.0,
7510542,939500,Faces Canada,Makeup,53860.0,
7510602,945865,MyGlamm,Makeup,53861.0,
7510537,970575,Miss Rose,Makeup,53862.0,
7510500,939528,Faces Canada,Makeup,53863.0,
7510534,970602,Miss Rose,Makeup,53864.0,
7510489,970490,Miss Rose,Makeup,53865.0,
7510497,939635,Faces Canada,Makeup,53866.0,
7510483,970677,Miss Rose,Makeup,53867.0,
7510434,970491,Miss Rose,Makeup,53868.0,
7510412,970494,Miss Rose,Makeup,53869.0,
7510367,961278,Makeup Revolution,Makeup,53870.0,
7510401,970683,Miss Rose,Makeup,53871.0,
7510349,1024526,Insight Cosmetics,Makeup,53872.0,
7510347,963655,Pigment Play,Makeup,53873.0,
7510345,1024525,Insight Cosmetics,Makeup,53874.0,
7510338,961173,Makeup Revolution,Makeup,53875.0,
7510297,939576,Faces Canada,Makeup,53876.0,
7510237,1024519,Insight Cosmetics,Makeup,53877.0,
7510227,961136,Makeup Revolution,Makeup,53878.0,
7510219,939554,Faces Canada,Makeup,53879.0,
7510184,1024528,Insight Cosmetics,Makeup,53880.0,
7510183,1024523,Insight Cosmetics,Makeup,53881.0,
7510175,942794,Colorbar,Makeup,53882.0,
7510180,1024529,Insight Cosmetics,Makeup,53883.0,
7510168,961165,Makeup Revolution,Makeup,53884.0,
7510158,973942,Insight Cosmetics,Makeup,53885.0,
7510153,1024537,Insight Cosmetics,Makeup,53886.0,
7510148,1024527,Insight Cosmetics,Makeup,53887.0,
7510127,942734,Colorbar,Makeup,53888.0,
7510142,973946,Insight Cosmetics,Makeup,53889.0,
7510123,950914,MyGlamm,Makeup,53890.0,
7510121,973947,Insight Cosmetics,Makeup,53891.0,
7510083,939574,Faces Canada,Makeup,53892.0,
7510077,946006,MyGlamm,Makeup,53893.0,
7510010,983936,Color Fever,Makeup,53894.0,
7509979,939546,Faces Canada,Makeup,53895.0,
7509945,939575,Faces Canada,Makeup,53896.0,
7509934,945779,MyGlamm,Makeup,53897.0,
7509936,939581,Faces Canada,Makeup,53898.0,
7509925,945778,MyGlamm,Makeup,53899.0,
7509882,939573,Faces Canada,Makeup,53900.0,
7509912,945776,MyGlamm,Makeup,53901.0,
7509870,945960,MyGlamm,Makeup,53902.0,
7509630,1018012,Babila,Bath & Body,53903.0,
7509519,982411,PROFINISH,Makeup,53904.0,
7509493,1026003,Pigment Play,Makeup,53905.0,
7509475,982413,PROFINISH,Makeup,53906.0,
7509474,1026006,Pigment Play,Makeup,53907.0,
7509395,1031076,Marks & Spencer,Bath & Body,53908.0,
